rural_or_urban,State Name,District Name,Block/Tehsil Name,Village Name,town_municipalty_name,ward_name,si_no_of_water_body_within_village_town,unique_id,water_body_name,basin_name,sub_basin_name,ref_water_body_type_id_name,nature_of_storage,khasra_number,latitude_dec,longitude_dec,water_body_loc_name,water_body_ownership_name,ref_water_body_in_use_id_name,ref_reason_water_body_in_use_id1_name,cca_water_body,ipc_water_body,scheme_status_reason_name,water_body_nature_name,manmade_water_body_type_name,construcion_year,construction_cost,renovation_year,renovation_cost,ref_water_body_under_repair_renovation_restoration_id_name,scheme_under_revival_is_done,scheme_inclusion_year,targeted_completion_year,estimated_cost,target_potential_revival,irrigation_potential_revived,water_spread_area_of_water_body,max_depth_water_body_fully_filled,storage_capacity_water_body_original,storage_capacity_water_body_present,filled_up_storage_name,filled_up_storage_space_name,no_town_cities_benefited,no_villages_benefited,no_people_benefited_by_water_body,ref_selection_id_wua_exists_name,extent_of_area_covered_by_wua,number_of_wua_formed,ref_selection_id_dip_sip_exists_name,ref_selection_id_water_body_encroached_name,ref_selection_id_encroachment_assessed_name,area_encroached_percentage,reason_water_body_in_use_name2,reason_water_body_in_use_name3
Rural,DELHI,SOUH WEST,DWARKA,POCHANPUR,NA,NA,3,1/33/005/000013/000176/003,Near baghichi park ,Ganga Basin,Yamuna Middle,Others,Playground exist,36,28.561389,77.044722,Others,Other Govt.Agency,No,NA,NA,NA,Others,Natural,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,Not Known,NA,NA,No,Yes,Yes,100,NA,NA
Rural,DELHI,SOUTH,MEHRAULI,MEHRAULI,NA,NA,22,1/33/004/000010/000139/022,PUBLIC PARK,NA,NA,Ponds,NA,NA,28.519722,77.161667,Others,Other Govt.Agency,No,NA,NA,NA,Salinity,Natural,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,0,NA,25000,20000,Full,Filled up every year,NA,NA,NA,Not Known,NA,NA,No,No,NA,NA,NA,NA
Rural,DELHI,SOUTH,MEHRAULI,MEHRAULI,NA,NA,23,1/33/004/000010/000139/023,PUBLIC PARK,NA,NA,Ponds,NA,NA,28.534167,77.146944,Others,Other Govt.Agency,Yes,Recreation,NA,NA,NA,Natural,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,0,NA,50000,32000,Full,Filled up every year,1,2,200,Not Known,NA,NA,No,No,NA,NA,NA,NA
Rural,DELHI,NORTH WEST,KANJHAWLA,JHATKHOR,NA,NA,3,1/33/003/000007/000097/003,Near Shiv Mandir,Ganga Basin,Yamuna Upper,Ponds,NA,32/7/1,28.785556,76.966944,Others,Other Govt.Agency,No,NA,NA,NA,Due to industrial effluents,Natural,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,0,NA,18196,14556,Nil/Negligible filled up,Rarely filled up,NA,NA,NA,No,NA,NA,No,No,NA,NA,NA,NA
Rural,DELHI,NORTH WEST,KANJHAWLA,TATESAR,NA,NA,3,1/33/003/000007/000094/003,NA,Ganga Basin,Yamuna Upper,Others,Abandoned and encroached,11-11-2002,28.750556,76.965833,Others,Other Govt.Agency,No,NA,NA,NA,Others,Natural,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,No,Yes,Yes,100,NA,NA
Rural,DELHI,SOUH WEST,KAPAS HERA,CHHAWLA,NA,NA,9,1/33/005/000014/000186/009, near hanuman mandir,Ganga Basin,Yamuna Middle,Ponds,NA,192,28.564167,77.002500,Others,Panchayat,Yes,Ground water recharge,NA,NA,NA,Natural,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,0,NA,5000,5000,Nil/Negligible filled up,Filled up every year,0,1,1200,Not Known,NA,NA,No,No,NA,NA,NA,NA
Rural,DELHI,EAST,MAYUR VIHAR,KONDLI,NA,NA,3,1/33/008/000024/000309/003,SMRITI VAN LAKE KONDLI,NA,NA,Others,NIL,NA,28.603611,77.336667,Others,Other Govt.Agency,No,NA,NA,NA,Others,Natural,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,Not Known,NA,NA,No,No,NA,NA,NA,NA
Rural,DELHI,NORTH WEST,KANJHAWLA,CHAND PUR MAJRA,NA,NA,3,1/33/003/000007/000093/003,NA,Ganga Basin,Yamuna Upper,Ponds,NA,32/10,28.755000,77.000833,Others,Other Govt.Agency,No,NA,NA,NA,Due to industrial effluents,Natural,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,0,NA,10073,8059,Nil/Negligible filled up,Rarely filled up,NA,NA,NA,No,NA,NA,No,No,NA,NA,NA,NA
Rural,DELHI,SOUH WEST,KAPAS HERA,PAPRAWAT,NA,NA,7,1/33/005/000014/000198/007,Paprawat near oasis school,Ganga Basin,Yamuna Middle,Ponds,NA,180,28.586111,76.978333,Others,Panchayat,Yes,Ground water recharge,NA,NA,NA,Natural,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,0,NA,4000,4000,Nil/Negligible filled up,Filled up every year,0,1,1500,Not Known,NA,NA,No,No,NA,NA,NA,NA
Rural,DELHI,NORTH WEST,KANJHAWLA,MOHAMMAD PUR MAJRI,NA,NA,3,1/33/003/000007/000102/003,Near Shiv Mandir,Ganga Basin,Yamuna Upper,Others,Abandoned and encroached,18/26,28.726667,77.041111,Others,Other Govt.Agency,No,NA,NA,NA,Due to industrial effluents,Natural,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,No,No,NA,NA,NA,NA
Rural,DELHI,NORTH WEST,ROHINI,MUBARIKPUR DABAS,NA,NA,7,1/33/003/000008/000111/007,Near Mazjid wali gali,Ganga Basin,Yamuna Upper,Others,Abandoned and encroached,79,28.704722,77.035278,Others,Other Govt.Agency,No,NA,NA,NA,Due to industrial effluents,Natural,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,No,No,NA,NA,NA,NA
Rural,DELHI,NORTH WEST,ROHINI,MUBARIKPUR DABAS,NA,NA,6,1/33/003/000008/000111/006,Near Shamshan Ghat,Ganga Basin,Yamuna Upper,Ponds,NA,13/25,28.711111,77.036667,Others,Other Govt.Agency,No,NA,NA,NA,Salinity,Natural,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,0,NA,47468,37974,Nil/Negligible filled up,Usually filled up,NA,NA,NA,No,NA,NA,No,No,NA,NA,NA,NA
Rural,DELHI,NORTH WEST,ROHINI,NITHARI,NA,NA,6,1/33/003/000008/000112/006,NA,Ganga Basin,Yamuna Upper,Others,Abandoned and encroached,35/15,28.703889,77.053611,Others,Other Govt.Agency,No,NA,NA,NA,Others,Natural,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,No,Yes,Yes,100,NA,NA
Urban,DELHI,EAST,NA,NA,EAST DELHI MUNICIPAL CORPORATION,VINOD NAGAR,4,2/33/008/276400/000060/004,VINOD NAGAR,NA,NA,Others,NIL,NA,28.623611,77.288889,Others,Other Govt.Agency,No,NA,NA,NA,Others,Natural,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,Not Known,NA,NA,No,No,NA,NA,NA,NA
Rural,DELHI,NORTH WEST,ROHINI,BEGUM PUR,NA,NA,4,1/33/003/000008/000117/004,NA,Ganga Basin,Yamuna Upper,Ponds,NA,New water body near Deep Vihar,28.728611,77.078333,Others,Other Govt.Agency,No,NA,NA,NA,Due to industrial effluents,Natural,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,0,NA,125847,100678,Nil/Negligible filled up,Rarely filled up,NA,NA,NA,No,NA,NA,No,No,NA,NA,NA,NA
Rural,DELHI,SOUTH,MEHRAULI,MEHRAULI,NA,NA,24,1/33/004/000010/000139/024,MARSHY LAND,NA,NA,Others,MARSHY LAND,NA,28.532778,77.185556,Others,Other Govt.Agency,No,NA,NA,NA,Dried-up,Natural,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,Not Known,NA,NA,No,No,NA,NA,NA,NA
Rural,DELHI,SOUH EAST,SARITA VIHAR,AALI,NA,NA,2,1/33/006/000016/000240/002,Aali,NA,NA,Ponds,NA,NA,28.516667,77.301389,Others,Other Govt.Agency,No,NA,NA,NA,Others,Natural,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,0,NA,500,50000,Full,Filled up every year,NA,NA,NA,Not Known,NA,NA,No,No,NA,NA,NA,NA
Rural,DELHI,WEST,PATEL NAGAR,MATIALA,NA,NA,4,1/33/007/000019/000269/004,Matiala,Ganga Basin,Yamuna Middle,Others,sports ground,22/29,28.611667,77.046389,Others,Muncipal authority,No,NA,NA,NA,Others,Natural,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,Not Known,NA,NA,No,Yes,No,NA,NA,NA
Rural,DELHI,WEST,PATEL NAGAR,MATIALA,NA,NA,3,1/33/007/000019/000269/003,Matiala,Ganga Basin,Yamuna Middle,Others,filled up,22/26,28.614167,77.043611,Others,Muncipal authority,No,NA,NA,NA,Others,Natural,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,Not Known,NA,NA,No,No,NA,NA,NA,NA
Rural,DELHI,NORTH WEST,KANJHAWLA,MOHAMMAD PUR MAJRI,NA,NA,2,1/33/003/000007/000102/002,NA,Ganga Basin,Yamuna Upper,Ponds,NA,Oct-27,28.728333,77.034444,Others,Other Govt.Agency,No,NA,NA,NA,Due to industrial effluents,Natural,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,0,NA,18228,14582,Nil/Negligible filled up,Rarely filled up,NA,NA,NA,No,NA,NA,No,No,NA,NA,NA,NA
Rural,DELHI,NORTH WEST,ROHINI,MUBARIKPUR DABAS,NA,NA,3,1/33/003/000008/000111/003,NA,Ganga Basin,Yamuna Upper,Others,Abandoned and encroached,37/4,28.721389,77.046389,Others,Other Govt.Agency,No,NA,NA,NA,Others,Natural,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,No,Yes,Yes,100,NA,NA
Rural,DELHI,NORTH WEST,ROHINI,NITHARI,NA,NA,4,1/33/003/000008/000112/004,NA,Ganga Basin,Yamuna Upper,Others,Abandoned and encroached,24-Feb,28.707778,77.054722,Others,Other Govt.Agency,No,NA,NA,NA,Others,Natural,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,No,Yes,Yes,100,NA,NA
Urban,DELHI,EAST,NA,NA,EAST DELHI MUNICIPAL CORPORATION,SHAHDARA,3,2/33/008/276400/000050/003,WELCOME JHEEL SHAHDARA,NA,NA,Others,NIL,NA,28.676111,77.279444,Others,Other Govt.Agency,No,NA,NA,NA,Others,Natural,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,Not Known,NA,NA,No,No,NA,NA,NA,NA
Rural,DELHI,NORTH WEST,ROHINI,KIRARI SULEMAN NAGAR,NA,NA,4,1/33/003/000008/000113/004,NA,Ganga Basin,Yamuna Upper,Others,Abandoned and encroached,148,28.697778,77.051944,Others,Other Govt.Agency,No,NA,NA,NA,Others,Natural,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,No,Yes,Yes,100,NA,NA
Rural,DELHI,NORTH WEST,ROHINI,BEGUM PUR,NA,NA,2,1/33/003/000008/000117/002,NA,Ganga Basin,Yamuna Upper,Others,abandoned and encroached,"12/6, 12/7/2",28.723611,77.066667,Others,Other Govt.Agency,No,NA,NA,NA,Others,Natural,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,No,Yes,Yes,100,NA,NA
Rural,DELHI,NORTH WEST,ROHINI,BEGUM PUR,NA,NA,5,1/33/003/000008/000117/005,NA,Ganga Basin,Yamuna Upper,Ponds,NA,17/26,28.732778,77.073889,Others,Other Govt.Agency,No,NA,NA,NA,Due to industrial effluents,Natural,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,0,NA,112969,90375,Nil/Negligible filled up,Usually filled up,NA,NA,NA,Not Known,NA,NA,No,No,NA,NA,NA,NA
Rural,DELHI,NORTH WEST,KANJHAWLA,SAWADA,NA,NA,2,1/33/003/000007/000107/002,NA,Ganga Basin,Yamuna Upper,Others,Abandoned and encroached,200,28.712500,76.988611,Others,Other Govt.Agency,No,NA,NA,NA,Others,Natural,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,No,Yes,Yes,100,NA,NA
Rural,DELHI,WEST,PUNJABI BAGH,NEELWAL,NA,NA,3,1/33/007/000020/000284/003,Neelwal Village,NA,NA,Others,Dry,Kh. No. 184,28.671111,76.990000,Others,Other Govt.Agency,No,NA,NA,NA,Dried-up,Natural,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,Not Known,NA,NA,No,No,NA,NA,NA,NA
Rural,DELHI,NORTH WEST,ROHINI,MUBARIKPUR DABAS,NA,NA,4,1/33/003/000008/000111/004,NA,Ganga Basin,Yamuna Upper,Others,Abandoned and encroached,37/72,28.707222,77.038333,Others,Other Govt.Agency,No,NA,NA,NA,Others,Natural,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,No,Yes,Yes,100,NA,NA
Rural,DELHI,NORTH WEST,ROHINI,MUBARIKPUR DABAS,NA,NA,5,1/33/003/000008/000111/005,NA,Ganga Basin,Yamuna Upper,Others,Abandoned and encroached,76,28.708333,77.039722,Others,Other Govt.Agency,No,NA,NA,NA,Others,Natural,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,No,Yes,Yes,100,NA,NA
Urban,DELHI,EAST,NA,NA,EAST DELHI MUNICIPAL CORPORATION,SHASTRI PARK,3,2/33/008/276400/000052/003,SHASTRI PARK,NA,NA,Others,NIL,NA,28.676389,77.262778,Others,Other Govt.Agency,No,NA,NA,NA,Others,Natural,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,No,No,NA,NA,NA,NA
Rural,DELHI,NORTH WEST,ROHINI,BEGUM PUR,NA,NA,3,1/33/003/000008/000117/003,NA,Ganga Basin,Yamuna Upper,Others,abandoned and encorached,16/23,28.727222,77.070000,Others,Other Govt.Agency,No,NA,NA,NA,Others,Natural,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,No,Yes,Yes,100,NA,NA
Rural,DELHI,NORTH WEST,KANJHAWLA,SAWADA,NA,NA,5,1/33/003/000007/000107/005,Near Hanuman Mandir,Ganga Basin,Yamuna Upper,Ponds,NA,430,28.703611,76.976111,Others,Other Govt.Agency,No,NA,NA,NA,Due to industrial effluents,Natural,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,0,NA,753,602,Nil/Negligible filled up,Usually filled up,NA,NA,NA,No,NA,NA,No,No,NA,NA,NA,NA
Rural,DELHI,SOUH WEST,KAPAS HERA,REWLA KHANPUR,NA,NA,2,1/33/005/000014/000204/002,Rewla khanpur,Ganga Basin,Yamuna Middle,Ponds,NA,46/29,28.563056,76.981944,Others,Panchayat,Yes,Ground water recharge,NA,NA,NA,Natural,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,0,NA,3000,3000,Nil/Negligible filled up,Filled up every year,0,1,2000,Not Known,NA,NA,No,No,NA,NA,NA,NA
Urban,DELHI,EAST,NA,NA,EAST DELHI MUNICIPAL CORPORATION,VINOD NAGAR,5,2/33/008/276400/000060/005,WEST VINOD NAGAR,NA,NA,Others,NIL,NA,28.622500,77.288889,Others,Other Govt.Agency,No,NA,NA,NA,Others,Natural,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,Not Known,NA,NA,No,No,NA,NA,NA,NA
Rural,DELHI,NORTH WEST,KANJHAWLA,SAWADA,NA,NA,3,1/33/003/000007/000107/003,NA,Ganga Basin,Yamuna Upper,Others,Abandoned and encroached,236,28.708611,76.985556,Others,Other Govt.Agency,No,NA,NA,NA,Others,Natural,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,No,Yes,Yes,100,NA,NA
Rural,DELHI,NORTH WEST,KANJHAWLA,SAWADA,NA,NA,4,1/33/003/000007/000107/004,NA,Ganga Basin,Yamuna Upper,Others,Abandoned and encroached,308,28.704722,76.980000,Others,Other Govt.Agency,No,NA,NA,NA,Others,Natural,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,No,Yes,Yes,100,NA,NA
Urban,DELHI,EAST,NA,NA,EAST DELHI MUNICIPAL CORPORATION,MANDAWALI,4,2/33/008/276400/000032/004,NA,NA,NA,Others,NIL,NA,28.628889,77.293333,Others,Other private body,No,NA,NA,NA,Others,Natural,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,Not Known,NA,NA,No,Yes,Yes,100,NA,NA
Rural,DELHI,EAST,PREET VIHAR,GAZIPUR,NA,NA,3,1/33/008/000022/000300/003,NA,NA,NA,Others,NIL,NA,28.632778,77.321944,Others,Other private body,No,NA,NA,NA,Others,Natural,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,Not Known,NA,NA,No,Yes,Yes,100,NA,NA
Rural,DELHI,EAST,PREET VIHAR,GAZIPUR,NA,NA,1,1/33/008/000022/000300/001,NA,Ganga Basin,NA,Ponds,NA,487,28.626389,77.324167,Flood prone,Group of Individuals,No,NA,NA,NA,Dried-up,Natural,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,0,NA,800,500,Nil/Negligible filled up,Rarely filled up,NA,NA,NA,No,NA,NA,No,No,NA,NA,NA,NA
Rural,DELHI,SOUH WEST,KAPAS HERA,DEORALA,NA,NA,3,1/33/005/000014/000189/003,near main road,Ganga Basin,Yamuna Middle,Ponds,NA,43 (04-02),28.510000,76.891944,Others,Panchayat,Yes,Other,NA,NA,NA,Natural,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,0,NA,3000,3000,Nil/Negligible filled up,Filled up every year,0,1,500,Not Known,NA,NA,No,No,NA,NA,NA,NA
Rural,DELHI,SOUH WEST,KAPAS HERA,DEORALA,NA,NA,4,1/33/005/000014/000189/004,near mcd toll ,Ganga Basin,Yamuna Middle,Ponds,NA,46 (08-10),28.510000,76.891944,Others,Panchayat,Yes,Other,NA,NA,NA,Natural,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,0,NA,6000,6000,Nil/Negligible filled up,Filled up every year,0,1,400,Not Known,NA,NA,No,No,NA,NA,NA,NA
Rural,DELHI,SOUH WEST,KAPAS HERA,RAGHUPUR,NA,NA,1,1/33/005/000014/000202/001,main road,Ganga Basin,Yamuna Middle,Ponds,NA,13,28.521667,77.000556,Others,Panchayat,Yes,Other,NA,NA,NA,Natural,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,0,NA,8500,8500,Nil/Negligible filled up,Filled up every year,0,1,600,Not Known,NA,NA,No,No,NA,NA,NA,NA
Rural,DELHI,NEW DELHI,VASANT VIHAR,RAJOKARI,NA,NA,8,1/33/011/000029/000339/008,Forest water body,Ganga Basin,Yamuna Middle,Others,No water body,1817,28.518333,77.107222,Others,Other Govt.Agency,No,NA,NA,NA,Others,Natural,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,Not Known,NA,NA,No,No,NA,NA,NA,NA
Rural,DELHI,NORTH,ALIPUR,SINGHU,NA,NA,2,1/33/001/000001/000026/002,Singhu Water body ,Ganga Basin,Yamuna Middle,Ponds,NA,43 (9-19),28.860000,77.133611,Others,Other Govt.Agency,Yes,Ground water recharge,NA,NA,NA,Natural,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,0.831,5,21100,21100,Nil/Negligible filled up,Never filled up,1,1,3000,No,NA,NA,No,No,NA,NA,NA,NA
Rural,DELHI,NORTH,ALIPUR,SINGHU,NA,NA,1,1/33/001/000001/000026/001,Singhu Water body ,Ganga Basin,Yamuna Middle,Ponds,NA,26/28,28.860000,77.133611,Others,Other Govt.Agency,No,NA,NA,NA,Others,Natural,NA,NA,NA,2018,1702866,No,NA,NA,NA,NA,NA,NA,0.301,2,3200,3200,Nil/Negligible filled up,Never filled up,NA,NA,NA,No,NA,NA,No,No,NA,NA,NA,NA
Rural,DELHI,NORTH,ALIPUR,SUNGAR PUR DELHI,NA,NA,3,1/33/001/000001/000028/003,Sungar Pur Water Body,Ganga Basin,Yamuna Middle,Others,Yamuna Water Storage ,"13/26 (4-16), 24/28 (1-8)",28.818202,77.211921,Flood prone,Other Govt.Agency,No,NA,NA,NA,Others,Man-made,Earthen,2020,71389071,NA,NA,No,NA,NA,NA,NA,NA,NA,10.52,2,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,No,No,NA,NA,NA,NA
Rural,DELHI,NORTH WEST,KANJHAWLA,NIZAMPUR RASHID PUR,NA,NA,5,1/33/003/000007/000103/005,NA,Ganga Basin,Yamuna Upper,Ponds,NA,28/19,28.714444,76.962778,Others,Other Govt.Agency,No,NA,NA,NA,Due to industrial effluents,Natural,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,0,NA,4799,3839,Nil/Negligible filled up,Usually filled up,NA,NA,NA,No,NA,NA,No,No,NA,NA,NA,NA
Rural,DELHI,SOUH EAST,KALKA JI,TUGLAKABAD,NA,NA,4,1/33/006/000017/000252/004,Tughlakabad ,NA,NA,Ponds,NA,NA,28.514167,77.267778,Others,Other Govt.Agency,No,NA,NA,NA,Others,Natural,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,0,NA,5,5000,Full,Filled up every year,NA,NA,NA,Not Known,NA,NA,No,No,NA,NA,NA,NA
Urban,DELHI,EAST,NA,NA,EAST DELHI MUNICIPAL CORPORATION,MANDAWALI,3,2/33/008/276400/000032/003,NA,NA,NA,Others,NIL,NA,28.635000,77.307500,Others,Other Govt.Agency,No,NA,NA,NA,Others,Natural,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,Not Known,NA,NA,No,Yes,Yes,100,NA,NA
Rural,DELHI,SOUTH,SAKET,NEB SARAI,NA,NA,4,1/33/004/000011/000145/004,Neb Sarai,NA,NA,Others,private land,NA,28.509444,77.203333,Others,Individual,No,NA,NA,NA,Others,Natural,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Yes,Yes,60,NA,NA
Urban,DELHI,EAST,NA,NA,EAST DELHI MUNICIPAL CORPORATION,MANDAWALI,2,2/33/008/276400/000032/002,NA,NA,NA,Others,NIL,NA,28.639722,77.301944,Others,Other Govt.Agency,No,NA,NA,NA,Others,Natural,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,Not Known,NA,NA,Yes,No,NA,NA,NA,NA
Rural,DELHI,SOUH WEST,KAPAS HERA,PINDWALAN KALAN,NA,NA,2,1/33/005/000014/000199/002,Near delhi govt dispensary,Ganga Basin,Yamuna Middle,Ponds,NA,NA,28.572778,76.954444,Others,Panchayat,Yes,Ground water recharge,NA,NA,NA,Natural,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,0,NA,6600,6600,Nil/Negligible filled up,Filled up every year,0,1,2000,Not Known,NA,NA,No,No,NA,NA,NA,NA
Rural,DELHI,SOUH WEST,KAPAS HERA,PAPRAWAT,NA,NA,1,1/33/005/000014/000198/001,Near govt boys school,Ganga Basin,Yamuna Middle,Ponds,NA,183,28.580000,76.983611,Others,Panchayat,Yes,Ground water recharge,NA,NA,NA,Natural,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,0,NA,6500,6500,Nil/Negligible filled up,Filled up every year,0,1,1200,Not Known,NA,NA,No,No,NA,NA,NA,NA
Rural,DELHI,SOUH WEST,NAJAFGARH,KHAIRA,NA,NA,2,1/33/005/000015/000223/002,Dada maya ram sadh mandir ,Ganga Basin,Yamuna Middle,Ponds,NA,185,28.600833,76.960833,Others,Panchayat,Yes,Ground water recharge,NA,NA,NA,Natural,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,0,NA,4000,4000,Nil/Negligible filled up,Filled up every year,0,1,800,Not Known,NA,NA,No,No,NA,NA,NA,NA
Rural,DELHI,SOUH WEST,KAPAS HERA,PAPRAWAT,NA,NA,4,1/33/005/000014/000198/004,Bihari pond,Ganga Basin,Yamuna Middle,Ponds,NA,182,28.582778,76.976667,Others,Panchayat,Yes,Ground water recharge,NA,NA,NA,Natural,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,0,NA,2100,2100,Nil/Negligible filled up,Filled up every year,0,1,1500,Not Known,NA,NA,No,No,NA,NA,NA,NA
Rural,DELHI,NORTH EAST,KARAWAL NAGAR,SABHAPUR DELHI,NA,NA,1,1/33/002/000004/000075/001,NA,NA,NA,Others,BUILT UP AREA,NA,28.750000,77.256667,Others,Other Govt.Agency,No,NA,NA,NA,Construction,Natural,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,No,Yes,Yes,100,NA,NA
Rural,DELHI,SOUH WEST,KAPAS HERA,KANGAN HERI,NA,NA,1,1/33/005/000014/000194/001,near shamshan ghat,Ganga Basin,Yamuna Middle,Ponds,NA,"32/7 (4-16), 14 (4-12)",28.545000,76.995556,Others,Panchayat,Yes,Other,NA,NA,NA,Natural,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,0,NA,8000,8000,Nil/Negligible filled up,Filled up every year,0,1,800,Not Known,NA,NA,No,No,NA,NA,NA,NA
Rural,DELHI,EAST,MAYUR VIHAR,KHICHRIPUR,NA,NA,1,1/33/008/000024/000307/001,NA,NA,NA,Others,NIL,NA,28.622778,77.314722,Others,Other Govt.Agency,No,NA,NA,NA,Others,Natural,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,Not Known,NA,NA,No,Yes,Yes,100,NA,NA
