rural_or_urban,State Name,District Name,Block/Tehsil Name,Village Name,town_municipalty_name,ward_name,si_no_of_water_body_within_village_town,unique_id,water_body_name,basin_name,sub_basin_name,ref_water_body_type_id_name,nature_of_storage,khasra_number,latitude_dec,longitude_dec,water_body_loc_name,water_body_ownership_name,ref_water_body_in_use_id_name,ref_reason_water_body_in_use_id1_name,cca_water_body,ipc_water_body,scheme_status_reason_name,water_body_nature_name,manmade_water_body_type_name,construcion_year,construction_cost,renovation_year,renovation_cost,ref_water_body_under_repair_renovation_restoration_id_name,scheme_under_revival_is_done,scheme_inclusion_year,targeted_completion_year,estimated_cost,target_potential_revival,irrigation_potential_revived,water_spread_area_of_water_body,max_depth_water_body_fully_filled,storage_capacity_water_body_original,storage_capacity_water_body_present,filled_up_storage_name,filled_up_storage_space_name,no_town_cities_benefited,no_villages_benefited,no_people_benefited_by_water_body,ref_selection_id_wua_exists_name,extent_of_area_covered_by_wua,number_of_wua_formed,ref_selection_id_dip_sip_exists_name,ref_selection_id_water_body_encroached_name,ref_selection_id_encroachment_assessed_name,area_encroached_percentage,reason_water_body_in_use_name2,reason_water_body_in_use_name3
Rural,DELHI,NORTH WEST,KANJHAWLA,QUTABGARH,NA,NA,3,1/33/003/000007/000105/003,Near Sitala Mata Mandir,Ganga Basin,Yamuna Upper,Ponds,NA,126/2,28.805833,76.961944,Others,Other Govt.Agency,No,NA,NA,NA,Due to industrial effluents,Natural,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,0,NA,23228,18582,Nil/Negligible filled up,Usually filled up,NA,NA,NA,No,NA,NA,No,No,NA,NA,NA,NA
Rural,DELHI,NORTH WEST,KANJHAWLA,JHATKHOR,NA,NA,1,1/33/003/000007/000097/001,Near Ambedkar Chaupal,Ganga Basin,Yamuna Upper,Ponds,NA,"16/20, 17/24",28.800000,76.966944,Others,Other Govt.Agency,No,NA,NA,NA,Due to industrial effluents,Natural,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,0,NA,3530,2824,Nil/Negligible filled up,Rarely filled up,NA,NA,NA,No,NA,NA,No,No,NA,NA,NA,NA
Rural,DELHI,NORTH WEST,KANJHAWLA,JONTI,NA,NA,6,1/33/003/000007/000098/006,NA,Ganga Basin,Yamuna Upper,Ponds,NA,"86/21/2, 22/1",28.739444,76.965833,Others,Other Govt.Agency,No,NA,NA,NA,Due to industrial effluents,Natural,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,0,NA,609,487,Nil/Negligible filled up,Usually filled up,NA,NA,NA,No,NA,NA,No,No,NA,NA,NA,NA
Rural,DELHI,NORTH,NARELA,NANGAL THAKRAN,NA,NA,1,1/33/001/000003/000056/001,NA,Ganga Basin,Yamuna Upper,Ponds,NA,92,28.810556,77.012222,Others,Other Govt.Agency,No,NA,NA,NA,Due to industrial effluents,Natural,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,0,NA,26806,21444,Nil/Negligible filled up,Usually filled up,NA,NA,NA,No,NA,NA,No,No,NA,NA,NA,NA
Rural,DELHI,NORTH,NARELA,KATEWARA,NA,NA,3,1/33/001/000003/000051/003,NA,Ganga Basin,Yamuna Upper,Ponds,NA,824,28.803611,76.995000,Others,Other Govt.Agency,No,NA,NA,NA,Due to industrial effluents,Natural,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,0,NA,7114,5691,Nil/Negligible filled up,Rarely filled up,NA,NA,NA,No,NA,NA,No,No,NA,NA,NA,NA
Rural,DELHI,NORTH,NARELA,SANOTH,NA,NA,1,1/33/001/000003/000061/001,Village Sanoth,Ganga Basin,Yamuna Middle,Ponds,NA,99(36-4),28.814167,77.070833,Others,Co-operative,No,NA,NA,NA,Others,Natural,NA,NA,NA,2012,250000,No,NA,NA,NA,NA,NA,NA,NA,NA,25000,19000,Upto 3/4,Rarely filled up,NA,NA,NA,Not Known,NA,NA,No,No,NA,NA,NA,NA
Rural,DELHI,NORTH,NARELA,BANKNER,NA,NA,4,1/33/001/000003/000043/004,Village Bankner near Veterinary Hospital,Ganga Basin,Yamuna Middle,Ponds,NA,38/28/2 (23-18),28.849444,77.072500,Others,Panchayat,No,NA,NA,NA,Others,Natural,NA,NA,NA,2001,250000,No,NA,NA,NA,NA,NA,NA,1.748,2,18000,12000,Nil/Negligible filled up,Never filled up,NA,NA,NA,Not Known,NA,NA,No,Yes,Yes,100,NA,NA
Rural,DELHI,NORTH,NARELA,BANKNER,NA,NA,5,1/33/001/000003/000043/005,Village Bankner Dada Mai Temple,Ganga Basin,Yamuna Middle,Ponds,NA,42/27 (18-10),28.848056,77.072500,Others,Panchayat,No,NA,NA,NA,Construction,Natural,NA,NA,NA,2015,700000,No,NA,NA,NA,NA,NA,NA,0.125,7,35000,25000,Nil/Negligible filled up,Never filled up,NA,NA,NA,Not Known,NA,NA,No,Yes,Yes,100,NA,NA
Rural,DELHI,NORTH WEST,ROHINI,RANI KHERA,NA,NA,4,1/33/003/000008/000109/004,NA,Ganga Basin,Yamuna Upper,Ponds,NA,58,28.704722,77.020278,Others,Other Govt.Agency,No,NA,NA,NA,Due to industrial effluents,Natural,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,0,NA,50792,40633,Nil/Negligible filled up,Rarely filled up,NA,NA,NA,No,NA,NA,No,No,NA,NA,NA,NA
Rural,DELHI,NORTH,NARELA,LAM PUR,NA,NA,6,1/33/001/000003/000053/006,Village Lampur Johadi,Ganga Basin,Yamuna Lower,Ponds,NA,54/11/2(2-1),28.845556,77.056389,Others,Panchayat,No,NA,NA,NA,Dried-up,Natural,NA,NA,NA,2015,375000,No,NA,NA,NA,NA,NA,NA,0.462,4,4000,2500,Nil/Negligible filled up,Never filled up,NA,NA,NA,Not Known,NA,NA,No,Yes,Yes,100,NA,NA
